Time[s],"X (HR=10%)",Time[s],"X (HR=20%)",Time[s],"X (HR=30%)",Time[s],"X (HR=40%)"
,,,,49011,0.03723604201216146,,
,,,,49071,0.03720840243228302,,
,,,,49131,0.03720840243228302,,
,,,,49191,0.037213930348258734,,
,,,,49251,0.037224986180210036,,
,,,,49311,0.037158651188501965,,
,,,,49371,0.0371807628524047,,
,,,,49432,0.037175234936428984,,
,,,,49491,0.037219458264234444,,
,,,,49551,0.03720840243228302,,
,,,,49611,0.037224986180210036,,
,,,,49671,0.037158651188501965,,
,,,,49731,0.037191818684356004,,
,,,,49791,0.037219458264234444,,
,,,,49851,0.03718629076838041,,
,,,,49914,0.037158651188501965,,
,,,,49971,0.03711995577667222,,
,,,,50031,0.037224986180210036,,
,,,,50091,0.03723051409618575,,
,,,,50151,0.037175234936428984,,
,,,,50211,0.03718629076838041,,
,,,,50271,0.0371807628524047,,
,,,,50331,0.03716417910447768,,
,,,,50391,0.037169707020453274,,
,,,,50451,0.037219458264234444,,
,,,,50511,0.037197346600331714,,
,,,,50571,0.037197346600331714,,
,,,,50631,0.037213930348258734,,
,,,,50691,0.03716417910447768,,
,,,,50751,0.03714759535655066,,
,,,,50811,0.03716417910447768,,
,,,,50871,0.0371807628524047,,
,,,,50931,0.037131011608623525,,
,,,,50991,0.03716417910447768,,
,,,,51051,0.037153123272526255,,
,,,,51111,0.037153123272526255,,
,,,,51171,0.0371807628524047,,
,,,,51231,0.03714206744057495,,
,,,,51291,0.03714206744057495,,
,,,,51352,0.03711995577667222,,
,,,,51411,0.037070204532891164,,
,,,,51471,0.037158651188501965,,
,,,,51531,0.03723604201216146,,
,,,,51591,0.03714206744057495,,
,,,,51653,0.037048092868988435,,
,,,,51711,0.037169707020453274,,
,,,,51771,0.037153123272526255,,
,,,,51831,0.037153123272526255,,
,,,,51891,0.0371807628524047,,
,,,,51951,0.03714206744057495,,
,,,,52011,0.037131011608623525,,
,,,,52072,0.037086788280818184,,
,,,,52131,0.037114427860696506,,
,,,,52191,0.03711995577667222,,
,,,,52251,0.037131011608623525,,
,,,,52311,0.037086788280818184,,
,,,,52371,0.037081260364842474,,
,,,,52431,0.037097844112769486,,
,,,,52491,0.037097844112769486,,
,,,,52551,0.03714206744057495,,
,,,,52611,0.037136539524599235,,
,,,,52671,0.03712548369264793,,
,,,,52731,0.0371033720287452,,
,,,,52791,0.036987285793255956,,
,,,,52851,0.037070204532891164,,
,,,,52911,0.03711995577667222,,
,,,,52971,0.03710889994472091,,
,,,,53033,0.03711995577667222,,
,,,,53091,0.037025981205085705,,
,,,,53151,0.037081260364842474,,
,,,,53211,0.037086788280818184,,
,,,,53271,0.03705362078496415,,
,,,,53331,0.037048092868988435,,
,,,,53391,0.03714206744057495,,
,,,,53451,0.037042564953012724,,
,,,,53511,0.037059148700939744,,
,,,,53571,0.037075732448866756,,
,,,,53631,0.03710889994472091,,
,,,,53691,0.037097844112769486,,
,,,,53751,0.0371033720287452,,
,,,,53811,0.037042564953012724,,
,,,,53871,0.037009397457158685,,
,,,,53933,0.037048092868988435,,
,,,,53991,0.037059148700939744,,
,,,,54051,0.037075732448866756,,
,,,,54111,0.03705362078496415,,
,,,,54171,0.037075732448866756,,
,,,,54233,0.03703150912106142,,
,,,,54291,0.036954118297401924,,
,,,,54351,0.03699281370923167,,
,,,,54411,0.037070204532891164,,
,,,,54472,0.037075732448866756,,
,,,,54531,0.037009397457158685,,
,,,,54595,0.03705362078496415,,
,,,,54651,0.03697070204532894,,
,,,,54711,0.037131011608623525,,
,,,,54771,0.037042564953012724,,
,,,,54831,0.03690436705362087,,
,,,,54891,0.037020453289109995,,
,,,,54951,0.037048092868988435,,
,,,,55011,0.03699281370923167,,
,,,,55071,0.03699834162520738,,
,,,,55131,0.03703150912106142,,
,,,,55191,0.037003869541182975,,
,,,,55253,0.03694306246545062,,
,,,,55314,0.037003869541182975,,
,,,,55374,0.036948590381426206,,
,,,,55431,0.037025981205085705,,
,,,,55491,0.037020453289109995,,
,,,,55551,0.03694306246545062,,
,,,,55611,0.036959646213377634,,
,,,,55673,0.037070204532891164,,
,,,,55731,0.0370149253731344,,
,,,,55791,0.036987285793255956,,
,,,,55851,0.03705362078496415,,
